date,open,high,low,close,coin
2025-05-12,0.248773,0.267847,0.248773,0.264927,tron
2025-05-16,0.264952,0.279344,0.261009,0.273009,tron
2025-05-20,0.273065,0.277676,0.261079,0.266617,tron
2025-05-24,0.266631,0.280201,0.265691,0.268482,tron
2025-05-28,0.268612,0.278063,0.268612,0.277543,tron
2025-06-01,0.277777,0.279272,0.263851,0.265755,tron
2025-06-05,0.265751,0.274415,0.26518,0.274415,tron
2025-06-09,0.274434,0.2869,0.266816,0.281893,tron
2025-06-13,0.281871,0.294139,0.271007,0.272116,tron
2025-06-17,0.272104,0.283863,0.267793,0.275204,tron
2025-06-21,0.274803,0.279494,0.268103,0.272483,tron
2025-06-25,0.272441,0.274749,0.259457,0.273922,tron
2025-06-29,0.273905,0.276394,0.270702,0.274606,tron
2025-07-03,0.274698,0.285047,0.274652,0.284754,tron
2025-07-07,0.284728,0.287807,0.281706,0.287227,tron
2025-07-11,0.287186,0.293601,0.285721,0.293601,tron
2025-07-15,0.293521,0.306694,0.293467,0.302531,tron
2025-07-19,0.302539,0.33353,0.295762,0.325761,tron
2025-07-23,0.325839,0.32723,0.308403,0.315936,tron
2025-07-27,0.315945,0.320569,0.301609,0.320037,tron
2025-07-31,0.320225,0.348554,0.319361,0.327581,tron
2025-08-04,0.327515,0.329242,0.318963,0.327585,tron
2025-08-08,0.327424,0.341473,0.327235,0.338451,tron
2025-08-12,0.338452,0.345554,0.335099,0.345488,tron
2025-08-16,0.345007,0.369488,0.344682,0.352168,tron
2025-08-20,0.35245,0.355021,0.344967,0.348124,tron
2025-08-24,0.34769,0.367074,0.346499,0.362278,tron
2025-08-28,0.362378,0.368238,0.33963,0.34527,tron
2025-09-01,0.345113,0.349471,0.333855,0.340767,tron
2025-09-05,0.340749,0.342055,0.333888,0.334636,tron
2025-09-09,0.33459,0.338897,0.302694,0.331321,tron
2025-09-13,0.331279,0.352489,0.329914,0.352489,tron
2025-09-17,0.352606,0.354627,0.34055,0.342299,tron
2025-09-21,0.342366,0.352198,0.339088,0.346734,tron
2025-09-25,0.346758,0.346765,0.334509,0.338255,tron
2025-09-29,0.338231,0.339468,0.331048,0.335777,tron
2025-10-03,0.335618,0.344113,0.331715,0.342995,tron
2025-10-07,0.342806,0.347177,0.339629,0.346268,tron
2025-10-11,0.346215,0.347018,0.319219,0.321137,tron
2025-10-15,0.320805,0.324239,0.30862,0.31698,tron
2024-10-16,0.116646,0.118756,0.110975,0.11715,dogecoin
2024-10-20,0.117586,0.146142,0.116014,0.144817,dogecoin
2024-10-24,0.144185,0.149484,0.133642,0.1399,dogecoin
2024-10-28,0.13991,0.145264,0.129564,0.144264,dogecoin
2024-11-01,0.144297,0.178809,0.141391,0.161612,dogecoin
2024-11-05,0.161235,0.168267,0.143634,0.158152,dogecoin
2024-11-09,0.158249,0.211182,0.158249,0.202016,dogecoin
2024-11-13,0.201787,0.43457,0.197886,0.386352,dogecoin
2024-11-17,0.382483,0.428874,0.35568,0.364056,dogecoin
2024-11-21,0.363958,0.416106,0.345428,0.378826,dogecoin
2024-11-25,0.379068,0.47592,0.37205,0.429861,dogecoin
2024-11-29,0.42978,0.436259,0.367842,0.402174,dogecoin
2024-12-03,0.401722,0.457656,0.400087,0.42405,dogecoin
2024-12-07,0.424451,0.458835,0.394757,0.435694,dogecoin
2024-12-11,0.435475,0.479522,0.368364,0.393384,dogecoin
2024-12-15,0.394135,0.422877,0.376568,0.397785,dogecoin
2024-12-19,0.397702,0.412978,0.357243,0.358238,dogecoin
2024-12-23,0.357947,0.366334,0.26734,0.311911,dogecoin
2024-12-27,0.312251,0.340955,0.303655,0.311922,dogecoin
2024-12-31,0.312091,0.328815,0.307409,0.313434,dogecoin
